"","Group","Subj","Numerosity","RT"
"1","A","s_1",1,716.521055806288
"2","A","s_1",2,596.625858943992
"3","A","s_1",3,673.273015919269
"4","A","s_1",4,817.787760050051
"5","A","s_1",5,1033.88386803035
"6","A","s_1",6,1203.04984051586
"7","A","s_1",7,1470.39436394736
"8","A","s_1",8,1828.5092554142
"9","A","s_1",9,1943.51111147894
"10","A","s_2",1,566.640488764242
"11","A","s_2",2,520.226763195428
"12","A","s_2",3,558.34171065495
"13","A","s_2",4,686.972980044115
"14","A","s_2",5,974.80311820994
"15","A","s_2",6,1264.169090492
"16","A","s_2",7,1777.13921979143
"17","A","s_2",8,1861.86697697135
"18","A","s_2",9,2426.38532277097
"19","A","s_3",1,549.816944569784
"20","A","s_3",2,531.010372134341
"21","A","s_3",3,561.4751700442
"22","A","s_3",4,700.047659329309
"23","A","s_3",5,880.873693152626
"24","A","s_3",6,1113.64448222397
"25","A","s_3",7,1539.97124895629
"26","A","s_3",8,1720.78075660112
"27","A","s_3",9,1994.82465296853
"28","A","s_4",1,602.466060553381
"29","A","s_4",2,608.383365241707
"30","A","s_4",3,681.951522119227
"31","A","s_4",4,772.575138584216
"32","A","s_4",5,1101.53551984379
"33","A","s_4",6,1362.02732951413
"34","A","s_4",7,1718.46336154311
"35","A","s_4",8,1646.02633391466
"36","A","s_4",9,2704.11582875325
"37","A","s_5",1,479.319705445558
"38","A","s_5",2,465.981273101605
"39","A","s_5",3,520.831540998954
"40","A","s_5",4,610.186651243782
"41","A","s_5",5,797.958843267402
"42","A","s_5",6,1190.15198613983
"43","A","s_5",7,1565.86747398811
"44","A","s_5",8,1624.79553667904
"45","A","s_5",9,1991.19715394249
"46","A","s_6",1,699.659285631015
"47","A","s_6",2,707.069876559456
"48","A","s_6",3,774.238041709826
"49","A","s_6",4,830.627179460132
"50","A","s_6",5,1013.26891435666
"51","A","s_6",6,1526.73829928737
"52","A","s_6",7,1685.12540635522
"53","A","s_6",8,2022.13137913393
"54","A","s_6",9,1892.39692751352
"55","A","s_7",1,673.026875904088
"56","A","s_7",2,569.503165946116
"57","A","s_7",3,695.724986285385
"58","A","s_7",4,825.353662441153
"59","A","s_7",5,1422.00755667912
"60","A","s_7",6,1733.67599952139
"61","A","s_7",7,2157.07457059239
"62","A","s_7",8,2367.19642558077
"63","A","s_7",9,2783.23943908536
"64","A","s_8",1,619.058863129845
"65","A","s_8",2,596.368956494141
"66","A","s_8",3,660.884914015014
"67","A","s_8",4,897.121544182892
"68","A","s_8",5,1370.00858822771
"69","A","s_8",6,1596.93405741664
"70","A","s_8",7,1981.43076278428
"71","A","s_8",8,2617.76575340349
"72","A","s_8",9,2346.40830764474
"73","A","s_9",1,424.081662496591
"74","A","s_9",2,430.72114997219
"75","A","s_9",3,480.806226530484
"76","A","s_9",4,554.876209445482
"77","A","s_9",5,898.1951228207
"78","A","s_9",6,1302.59891196453
"79","A","s_9",7,1864.35414220518
