"Condition","Subj","Block","Good","Total"
1,"sub_001",1,19,20
1,"sub_001",2,5,20
1,"sub_001",3,10,20
1,"sub_001",4,20,20
1,"sub_001",5,20,20
1,"sub_003",1,6,20
1,"sub_003",2,7,20
1,"sub_003",3,12,20
1,"sub_003",4,12,20
1,"sub_003",5,18,20
1,"sub_007",1,7,20
1,"sub_007",2,0,20
1,"sub_007",3,10,20
1,"sub_007",4,11,20
1,"sub_007",5,16,20
1,"sub_009",1,10,20
1,"sub_009",2,10,20
1,"sub_009",3,10,20
1,"sub_009",4,13,20
1,"sub_009",5,13,20
1,"sub_013",1,8,20
1,"sub_013",2,12,20
1,"sub_013",3,9,20
1,"sub_013",4,10,20
1,"sub_013",5,10,20
1,"sub_014",1,4,20
1,"sub_014",2,17,20
1,"sub_014",3,18,20
1,"sub_014",4,20,20
1,"sub_014",5,17,20
1,"sub_018",1,13,20
1,"sub_018",2,12,20
1,"sub_018",3,20,20
1,"sub_018",4,15,20
1,"sub_018",5,15,20
1,"sub_021",1,17,20
1,"sub_021",2,16,20
1,"sub_021",3,14,20
1,"sub_021",4,17,20
1,"sub_021",5,16,20
1,"sub_024",1,4,20
1,"sub_024",2,10,20
1,"sub_024",3,12,20
1,"sub_024",4,20,20
1,"sub_024",5,2,20
1,"sub_028",1,7,20
1,"sub_028",2,6,20
1,"sub_028",3,16,20
1,"sub_028",4,19,20
1,"sub_028",5,15,20
1,"sub_030",1,10,20
1,"sub_030",2,9,20
1,"sub_030",3,11,20
1,"sub_030",4,6,20
1,"sub_030",5,8,20
1,"sub_031",1,12,20
1,"sub_031",2,7,20
1,"sub_031",3,13,20
1,"sub_031",4,8,20
1,"sub_031",5,5,20
1,"sub_033",1,10,20
1,"sub_033",2,10,20
1,"sub_033",3,14,20
1,"sub_033",4,11,20
1,"sub_033",5,11,20
1,"sub_040",1,5,20
1,"sub_040",2,9,20
1,"sub_040",3,12,20
1,"sub_040",4,12,20
1,"sub_040",5,19,20
1,"sub_041",1,9,20
1,"sub_041",2,9,20
1,"sub_041",3,11,20
1,"sub_041",4,10,20
1,"sub_041",5,12,20
1,"sub_046",1,20,20
1,"sub_046",2,0,20
1,"sub_046",3,7,20
1,"sub_046",4,20,20
1,"sub_046",5,8,20
1,"sub_049",1,20,20
1,"sub_049",2,20,20
1,"sub_049",3,8,20
1,"sub_049",4,15,20
1,"sub_049",5,12,20
1,"sub_050",1,6,20
1,"sub_050",2,9,20
1,"sub_050",3,12,20
1,"sub_050",4,11,20
1,"sub_050",5,14,20
1,"sub_053",1,7,20
1,"sub_053",2,12,20
1,"sub_053",3,15,20
1,"sub_053",4,13,20
1,"sub_053",5,10,20
1,"sub_057",1,5,20
1,"sub_057",2,20,20
1,"sub_057",3,16,20
1,"sub_057",4,0,20
1,"sub_057",5,13,20
1,"sub_059",1,10,20
1,"sub_059",2,8,20
1,"sub_059",3,10,20
1,"sub_059",4,11,20
1,"sub_059",5,8,20
1,"sub_062",1,9,20
1,"sub_062",2,11,20
1,"sub_062",3,9,20
1,"sub_062",4,10,20
1,"sub_062",5,9,20
1,"sub_067",1,4,20
1,"sub_067",2,5,20
1,"sub_067",3,7,20
1,"sub_067",4,8,20
1,"sub_067",5,6,20
1,"sub_068",1,8,20
1,"sub_068",2,14,20
1,"sub_068",3,13,20
1,"sub_068",4,15,20
1,"sub_068",5,11,20
1,"sub_071",1,10,20
1,"sub_071",2,11,20
1,"sub_071",3,11,20
1,"sub_071",4,10,20
1,"sub_071",5,13,20
1,"sub_075",1,10,20
